text,category,stored_by,source_summary
"V1 Slack #announcements structure: optional hook line (often with @channel), then the human story (the most words), then the product in one sentence, then short genuine congrats, then a CTA with links ('go show them some love 👇'). Avoid reusing the previous post's hook formula.",brand_voice,V1 Style Guide,V1 Slack #announcements skill
"V1 Slack #announcements voice: lowercase, warm, conversational, founder-to-teammate (not student-org or corporate). No em-dashes. No filler ('just wanted to,' 'genuinely,' 'better late than never'). One emoji per beat, max. @mention names and verify spelling.",brand_voice,V1 Style Guide,V1 Slack #announcements skill
"V1 Slack #announcements are people stories, not product announcements: expand the human story and cut the product to one sentence folded into the news. Test: if you deleted the product sentence, the post should still land.",brand_voice,V1 Style Guide,V1 Slack #announcements skill
"V1 LinkedIn posts avoid hashtags and emoji (except 📅📍 in Demo Day promos), avoid humility disclaimers and generic CTAs like 'like and share,' and never bury the product name past the first 60% of the post.",brand_voice,V1 Style Guide,V1 LinkedIn ghostwriter skill
"V1 LinkedIn builder/product post shape: hook (1-3 punchy sentences, no preamble), personal origin, the insight, the build (name the product in one sentence), what it does (3-5 outcome-led bullets), proof/traction, what's next, one specific CTA (e.g., 'DM me'), then tag V1 @ Michigan. 180-320 words.",brand_voice,V1 Style Guide,V1 LinkedIn ghostwriter skill
"V1 LinkedIn posts (ghostwritten for members) sound like a real person, not a press release: honest over polished (lead with the struggle), specific over general, builder pride not hype; paragraphs are 1-3 sentences.",brand_voice,V1 Style Guide,V1 LinkedIn ghostwriter skill
"V1 Substack has four post types with target lengths: event recap (600-900 words), season kickoff/outlook (500-800), big announcement (300-500), monthly digest (700-1,000, the longest).",brand_voice,V1 Style Guide,V1 Substack newsletter skill
V1 Substack event details use this exact format: '🗓 Date | ⏰ Time |📍Location' in bold (no space before 📍). Link people and companies on first mention and append ?utm_source=newsletter to those links.,brand_voice,V1 Style Guide,V1 Substack newsletter skill
"V1 Substack newsletters use transitional bridge phrases between sections ('Without further ado...', 'And just like that...', 'But first, a quick recap') plus occasional parenthetical humor and repetition for rhythm — used sparingly.",brand_voice,V1 Style Guide,V1 Substack newsletter skill
"V1 Substack newsletters end on forward motion; the canonical sign-off is 'Keep building.' Another closer: 'We're going big this semester, and we hope you are too.'",brand_voice,V1 Style Guide,V1 Substack newsletter skill
"V1 Substack newsletters use the collective 'we' voice (V1 is the author), warm but specific, with earned pride not hype; paragraphs are 1-3 sentences with generous white space.",brand_voice,V1 Style Guide,V1 Substack newsletter skill
"In V1 content, bridge to a product through the person's real connection to the problem before introducing what they built — the personal origin is the bridge.",brand_voice,V1 Style Guide,V1 voice (all channels)
"V1 writing is specific over general: use real numbers, names, dates, job titles, and dollar amounts, never vague markers like 'recently,' 'a major deal,' or 'a large industry.'",brand_voice,V1 Style Guide,V1 voice (all channels)
"Across all V1 content, humility and ambition coexist — show builder pride without hype. 'This is just the start' lands; 'we're disrupting the industry' or 'this is the future' does not.",brand_voice,V1 Style Guide,V1 voice (all channels)
Default V1 responses and copy to as short as possible.,brand_voice,V1 Style Guide,Banned Words & Phrases (Notion)
"V1 formatting rules: use bullets for genuine lists only — if it can be a sentence, make it a sentence. No bold in prose; if it's important, the writing makes that clear. Use headers only in documents that genuinely need navigation. No throat-clearing intros like 'In this response, I'll cover…' — just say the thing.",brand_voice,V1 Style Guide,Banned Words & Phrases (Notion)
"Banned sentence patterns in V1 content: (1) Three-part prose lists like 'it's fast, reliable, and scalable' — you don't always need three things. (2) Reframing as a rhetorical move — 'it's not X, it's Y', 'No X. No Y. Just Z.', 'From X to Y'. (3) Rhetorical questions as transitions like 'So what does this mean for you?'. (4) Motivational filler like 'Remember: consistency is key'. (5) False balance like 'this is powerful, but also nuanced'.",brand_voice,V1 Style Guide,Banned Words & Phrases (Notion)
"Banned words in V1 content — do not use: crucial, vital, key (as an adjective), leverage, utilise (use 'use' instead), game-changer, cutting-edge, innovative, delve, dive deep, seamless, straightforward, robust, comprehensive, plain-english, honestly, impossible, bet, quiet, quietly, kicker, insight, miss, strategy, anyway, pivot, worth. Also avoid the phrase 'it's worth noting that'.",brand_voice,V1 Style Guide,Banned Words & Phrases (Notion)
"V1 content must not sound like AI writing, which reads like someone selling an online course — feigned expertise, unearned authority, motivational filler, and performed helpfulness. Write plainly, with earned authority and no filler.",brand_voice,V1 Style Guide,Banned Words & Phrases (Notion)
